Full name,Born in,Born-on,College,Links
Johnny Klippstein,"  Washington, D.C.",  10-17-1927  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=klippjo01
Sandy Koufax,"  Brooklyn, New York",  12-30-1935  (Capricorn),  University of Cincinnati,https://www.baseball-almanac.com/players/player.php?p=koufasa01
Larry Sherry,"  Los Angeles, California",  07-25-1935  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=sherrla01
Stan Williams,"  Enfield, New Hampshire",  09-14-1936  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=willist02
Dick Donovan,"  Boston, Massachusetts",  12-07-1927  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=donovdi01
Turk Lown,"  Brooklyn, New York",  05-30-1924  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=lowntu01
Ray Moore,"  Meadows, Maryland",  06-01-1926  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=moorera02
Billy Pierce,"  Detroit, Michigan",  04-02-1927  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=piercbi02
Bob Shaw,"  Bronx, New York",  06-29-1933  (Cancer),  St. Lawrence University,https://www.baseball-almanac.com/players/player.php?p=shawbo01
Gerry Staley,"  Brush Prairie, Washington",  08-21-1920  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=stalege01
Tom Cheney,"  Morgan, Georgia",  10-14-1934  (Libra),  Abraham Baldwin Agricultural College,https://www.baseball-almanac.com/players/player.php?p=cheneto01
Roy Face,"  Stephentown, New York",  02-20-1928  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=facero01
Bob Friend,"  Lafayette, Indiana",  11-24-1930  (Sagittarius),  Purdue University,https://www.baseball-almanac.com/players/player.php?p=frienbo01
Joe Gibbon,"  Hickory, Mississippi",  04-10-1935  (Aries),  University of Mississippi,https://www.baseball-almanac.com/players/player.php?p=gibbojo01
Fred Green,"  Titusville, New Jersey",  09-14-1933  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=greenfr01
Harvey Haddix,"  Medway, Ohio",  09-18-1925  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=haddiha01
Vern Law,"  Meridian, Idaho",  03-12-1930  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=lawve01
Vinegar Bend Mizell,"  Leakesville, Mississippi",  08-13-1930  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mizelvi01
George Witt,"  Long Beach, California",  11-09-1931  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=wittge01
Luis Arroyo,"  Penuelas, Puerto Rico",  02-18-1927  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=arroylu01
Jim Coates,"  Farnham, Virginia",  08-04-1932  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=coateji01
Bill Stafford,"  Catskill, New York",  08-13-1939  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=staffbi01
Ralph Terry,"  Big Cabin, Oklahoma",  01-09-1936  (Capricorn),  Southwest Missouri State University (DNP),https://www.baseball-almanac.com/players/player.php?p=terryra01
Bud Daley,"  Orange, California",  10-07-1932  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=daleybu01
Jim Brosnan,"  Cincinnati, Ohio",  10-24-1929  (Scorpio),  Xavier University (DNP),https://www.baseball-almanac.com/players/player.php?p=brosnji01
Bill Henry,"  Alice, Texas",  10-15-1927  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=henrybi01
Ken Hunt,"  Ogden, Utah",  12-14-1938  (Sagittarius),  Brigham Young University,https://www.baseball-almanac.com/players/player.php?p=huntke02
Joey Jay,"  Middletown, Connecticut",  08-15-1935  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=jayjo01
Ken Johnson,"  West Palm Beach, Florida",  06-16-1933  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=johnske02
Sherman Jones,"  Winton, North Carolina",  02-10-1935  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=jonessh02
Jim Maloney,"  Fresno, California",  06-02-1940  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=malonji01
Jim O'Toole,"  Chicago, Illinois",  01-10-1937  (Capricorn),  University of Wisconsin,https://www.baseball-almanac.com/players/player.php?p=otooji01
Bob Purkey,"  Pittsburgh, Pennsylvania",  07-14-1929  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=purkebo01
Marshall Bridges,"  Jackson, Mississippi",  06-02-1931  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bridgma01
Bobby Bolin,"  Hickory Grove, South Carolina",  01-29-1939  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bolinbo01
Juan Marichal,"  Laguna Verde, Monte Cristi, Dominican Republic",  10-20-1937  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=maricju01
Stu Miller,"  Northampton, Massachusetts",  12-26-1927  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=millest01
Billy O'Dell,"  Whitmire, South Carolina",  02-10-1932  (Aquarius),  Clemson Agricultural College,https://www.baseball-almanac.com/players/player.php?p=odelbi01
Jack Sanford,"  Wellesley Hills, Massachusetts",  05-18-1929  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=sanfoja02
Ron Perranoski,"  Paterson, New Jersey",  04-01-1936  (Aries),  Michigan State University,https://www.baseball-almanac.com/players/player.php?p=perraro01
Jim Bouton,"  Newark, New Jersey",  03-08-1939  (Pisces),  Western Michigan University,https://www.baseball-almanac.com/players/player.php?p=boutoji01
Al Downing,"  Trenton, New Jersey",  06-28-1941  (Cancer),  Rider College (DNP),https://www.baseball-almanac.com/players/player.php?p=downial01
Steve Hamilton,"  Columbia, Kentucky",  11-30-1934  (Sagittarius),  Morehead State University,https://www.baseball-almanac.com/players/player.php?p=hamilst01
Hal Reniff,"  Warren, Ohio",  07-02-1938  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=renifha01
Bob Gibson,"  Omaha, Nebraska",  11-09-1935  (Scorpio),  Creighton University,https://www.baseball-almanac.com/players/player.php?p=gibsobo01
Bob Humphreys,"  Covington, Virginia",  08-18-1935  (Leo),  Hampden-Sydney College,https://www.baseball-almanac.com/players/player.php?p=humphbo01
Gordie Richardson,"  Colquitt, Georgia",  07-19-1939  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=richago01
Ray Sadecki,"  Kansas City, Kansas",  12-26-1940  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=sadecra01
Barney Schultz,"  Beverly, New Jersey",  08-15-1926  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=schulba01
Curt Simmons,"  Egypt, Pennsylvania",  05-19-1929  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=simmocu01
Ron Taylor,"  Toronto, Ontario, Canada",  12-13-1937  (Sagittarius),  Toronto,https://www.baseball-almanac.com/players/player.php?p=tayloro01
Pete Mikkelsen,"  Staten Island, New York",  10-25-1939  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mikkepe01
Rollie Sheldon,"  Putnam, Connecticut",  12-17-1936  (Sagittarius),  University of Connecticut & Texas A&M,https://www.baseball-almanac.com/players/player.php?p=sheldro01
Mel Stottlemyre,"  Hazleton, Missouri",  11-13-1941  (Scorpio),  Yakima Valley College,https://www.baseball-almanac.com/players/player.php?p=stottme01
Jim Brewer,"  Merced, California",  11-17-1937  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=breweji01
Bob Miller,"  St. Louis, Missouri",  02-18-1939  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=millebo04
Claude Osteen,"  Caney Spring, Tennessee",  08-09-1939  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=osteecl01
Howie Reed,"  Dallas, Texas",  12-21-1936  (Sagittarius),  University of Texas,https://www.baseball-almanac.com/players/player.php?p=reedho01
Dave Boswell,"  Baltimore, Maryland",  01-20-1945  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bosweda01
Mudcat Grant,"  Lacoochee, Florida",  08-13-1935  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=grantmu01
Jim Kaat,"  Zeeland, Michigan",  11-07-1938  (Scorpio),  Hope College,https://www.baseball-almanac.com/players/player.php?p=kaatji01
Jim Merritt,"  Altadena, California",  12-09-1943  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=merriji01
Camilo Pascual,"  Havana, Cuba",  01-20-1934  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=pascuca02
